,C FG3M,C FG3A,C FG3%,O FG3M,O FG3A,O FG3%
Bradley Beal,29.0,87.0,0.3333333333333333,101.0,286.0,0.3531468531468531
Brandon Ingram,41.0,109.0,0.3761467889908257,102.0,266.0,0.38345864661654133
Buddy Hield,54.0,163.0,0.3312883435582822,228.0,558.0,0.40860215053763443
Carmelo Anthony,38.0,91.0,0.4175824175824176,95.0,234.0,0.405982905982906
Damian Lillard,76.0,221.0,0.3438914027149321,199.0,483.0,0.41200828157349895
Danny Green,26.0,87.0,0.2988505747126437,149.0,345.0,0.4318840579710145
Davis Bertans,52.0,137.0,0.3795620437956204,117.0,291.0,0.4020618556701031
Devin Booker,22.0,73.0,0.3013698630136986,102.0,293.0,0.34812286689419797
Devonte' Graham,32.0,107.0,0.29906542056074764,146.0,369.0,0.3956639566395664
Donovan Mitchell,26.0,80.0,0.325,152.0,380.0,0.4
Duncan Robinson,90.0,242.0,0.371900826446281,160.0,371.0,0.431266846361186
Fred VanVleet,25.0,82.0,0.3048780487804878,149.0,394.0,0.37817258883248733
Jaylen Brown,32.0,83.0,0.3855421686746988,131.0,327.0,0.40061162079510704
Jayson Tatum,54.0,160.0,0.3375,133.0,325.0,0.40923076923076923
Joe Harris,35.0,105.0,0.3333333333333333,176.0,339.0,0.5191740412979351
Jordan Clarkson,46.0,172.0,0.26744186046511625,162.0,425.0,0.3811764705882353
Khris Middleton,28.0,79.0,0.35443037974683544,123.0,286.0,0.43006993006993005
Kyrie Irving,22.0,74.0,0.2972972972972973,130.0,304.0,0.4276315789473684
Luka Doncic,16.0,74.0,0.21621621621621623,176.0,472.0,0.3728813559322034
Michael Porter Jr.,49.0,132.0,0.3712121212121212,120.0,248.0,0.4838709677419355
Patty Mills,34.0,98.0,0.3469387755102041,127.0,332.0,0.3825301204819277
Paul George,34.0,108.0,0.3148148148148148,137.0,308.0,0.4448051948051948
Seth Curry,23.0,57.0,0.40350877192982454,103.0,223.0,0.4618834080717489
Stephen Curry,95.0,252.0,0.376984126984127,240.0,542.0,0.44280442804428044
Terry Rozier,49.0,132.0,0.3712121212121212,173.0,438.0,0.3949771689497717
Tim Hardaway Jr.,41.0,113.0,0.36283185840707965,166.0,415.0,0.4
Tyler Herro,18.0,62.0,0.2903225806451613,89.0,235.0,0.37872340425531914
Zach LaVine,35.0,108.0,0.32407407407407407,165.0,369.0,0.44715447154471544
